Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UPS2_yeast	Razor + unique peptides UPS2_yeast	Unique peptides UPS2_yeast	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type UPS2_yeast	Sequence coverage UPS2_yeast [%]	Intensity	Intensity UPS2_yeast	iBAQ	iBAQ UPS2_yeast	LFQ intensity UPS2_yeast	MS/MS Count UPS2_yeast	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P22203|VATE_YEAST	sp|P22203|VATE_YEAST	11	11	11	>sp|P22203|VATE_YEAST V-type proton ATPase subunit E OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA4 PE=1 SV=4	1	11	11	11	11	11	11	48.9	48.9	48.9	26.471	233	233	1	40	0	45.108	By MS/MS	48.9	6387400000	6387400000	491340000	491340000	13390000000	33	33				374	92;410;466;1068;1217;1218;1824;3367;4405;4738;5509	True;True;True;True;True;True;True;True;True;True;True	94;416;474;1082;1234;1235;1847;3416;4467;4805;5602	403;404;405;1598;1805;1806;1807;1808;1809;1810;4009;4010;4011;4485;4486;4487;4488;4489;4490;4491;4492;4493;4494;6677;6678;6679;12577;12578;12579;16585;16586;16587;17915;17916;17917;20876;20877;20878;20879;20880	475;476;1595;1802;1803;1804;1805;1806;3944;3945;4394;4395;4396;4397;4398;4399;6623;6624;6625;12617;12618;12619;12620;12621;16764;16765;16766;18177;18178;18179;18180;21185;21186;21187;21188	475;1595;1805;3944;4395;4398;6623;12620;16764;18180;21186		
sp|P22211|NPR1_YEAST	sp|P22211|NPR1_YEAST	1	1	1	>sp|P22211|NPR1_YEAST Nitrogen permease reactivator protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPR1 PE=1 SV=2	1	1	1	1	1	1	1	1.8	1.8	1.8	85.989	790	790	1	2	0	3.8209	By MS/MS	1.8	5752500	5752500	179770	179770	12567000	2	2				375	536	True	544	2106;2107	2121;2122	2121		
sp|P22213|SLY1_YEAST	sp|P22213|SLY1_YEAST	2	2	2	>sp|P22213|SLY1_YEAST Protein SLY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLY1 PE=1 SV=1	1	2	2	2	2	2	2	4.5	4.5	4.5	74.678	666	666	1	6	0	3.6403	By MS/MS	4.5	50417000	50417000	1482900	1482900	116290000	4	4				376	1748;5647	True;True	1770;5744	6404;6405;6406;21346;21347;21348	6371;6372;21632;21633	6371;21633		
sp|P22217|TRX1_YEAST	sp|P22217|TRX1_YEAST	6	6	4	>sp|P22217|TRX1_YEAST Thioredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX1 PE=1 SV=3	1	6	6	4	6	6	4	66	66	48.5	11.235	103	103	1	22	0	22.088	By MS/MS	66	5759900000	5759900000	719980000	719980000	12108000000	17	17				377	2359;4358;5300;5512;7007;8220	True;True;True;True;True;True	2389;4419;5382;5605;7123;8351	8714;8715;8716;16418;16419;16420;20112;20113;20114;20889;20890;20891;26305;26306;26307;30974;30975;30976;30977;30978;30979;30980	8745;8746;8747;8748;8749;16601;16602;16603;16604;16605;16606;20461;20462;20463;21194;21195;21196;26785;26786;26787;31573;31574;31575;31576;31577;31578	8749;16601;20463;21196;26785;31577		
sp|P22515|UBA1_YEAST	sp|P22515|UBA1_YEAST	26	26	26	>sp|P22515|UBA1_YEAST Ubiquitin-activating enzyme E1 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBA1 PE=1 SV=2	1	26	26	26	26	26	26	29.1	29.1	29.1	114.26	1024	1024	1	83	0	199.75	By MS/MS	29.1	5290200000	5290200000	96186000	96186000	11093000000	78	78				378	2361;2613;2721;2789;2943;3087;3303;3641;4114;4411;4780;4813;4964;5066;5851;6049;6119;6181;6394;6463;6887;7039;7153;7322;7418;7715	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2391;2644;2753;2825;2984;3131;3351;3693;4172;4473;4847;4882;5036;5138;5954;6152;6224;6286;6501;6573;7003;7155;7269;7439;7536;7838	8719;8720;8721;9601;9602;9603;9988;9989;10217;10218;10219;10861;10862;10863;11518;12343;12344;12345;12346;12347;12348;13601;13602;13603;13604;13605;13606;15488;15489;15490;16601;16602;16603;18070;18071;18072;18197;18198;18199;18794;18795;18796;19143;19144;22087;22088;22766;22767;22768;23013;23014;23015;23241;23242;23243;23244;23245;23246;24028;24029;24030;24031;24032;24033;24265;24266;24267;25884;25885;25886;26435;26436;26437;26791;26792;27439;27440;27441;27765;27766;28827;28828;28829	8751;8752;9604;9605;9994;9995;10196;10197;10198;10831;10832;10833;11525;12384;12385;12386;12387;12388;13690;13691;13692;13693;13694;15619;15620;15621;15622;16778;16779;16780;18335;18456;18457;18458;18459;18460;19124;19125;19126;19453;19454;19455;19456;22415;22416;23098;23099;23100;23339;23340;23556;23557;23558;23559;23560;23561;24402;24403;24404;24405;24406;24629;24630;24631;26337;26338;26953;26954;27300;27301;27943;27944;27945;27946;28248;29352;29353;29354;29355	8752;9604;9994;10198;10833;11525;12387;13693;15620;16778;18335;18460;19126;19455;22416;23098;23339;23556;24403;24630;26338;26953;27301;27946;28248;29355		
sp|P22517|KCC2_YEAST	sp|P22517|KCC2_YEAST	2	2	2	>sp|P22517|KCC2_YEAST Calcium/calmodulin-dependent protein kinase II OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMK2 PE=1 SV=2	1	2	2	2	2	2	2	4.7	4.7	4.7	50.447	447	447	1	3	0	2.4081	By MS/MS	4.7	43997000	43997000	2095100	2095100	77206000	3	3				379	4983;4990	True;True	5055;5062	18862;18863;18886	19186;19187;19206	19186;19206		
sp|P22696|ESS1_YEAST	sp|P22696|ESS1_YEAST	1	1	1	>sp|P22696|ESS1_YEAST Peptidyl-prolyl cis-trans isomerase ESS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ESS1 PE=1 SV=3	1	1	1	1	1	1	1	10.6	10.6	10.6	19.404	170	170	1	6	0	3.9565	By MS/MS	10.6	205640000	205640000	17136000	17136000	456210000	5	5				380	7762	True	7885	29120;29121;29122;29123;29124;29125	29672;29673;29674;29675;29676	29673		
sp|P22803|TRX2_YEAST	sp|P22803|TRX2_YEAST	5	3	3	>sp|P22803|TRX2_YEAST Thioredoxin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX2 PE=1 SV=3	1	5	3	3	5	3	3	54.8	37.5	37.5	11.204	104	104	1	9	0	13.925	By MS/MS	54.8	4316300000	4316300000	539530000	539530000	8608600000	7	7				381	149;2033;5300;6361;8220	True;True;False;True;False	153;2058;5382;6468;8351	648;649;650;7513;7514;7515;20112;20113;20114;23931;23932;23933;30974;30975;30976;30977;30978;30979;30980	744;745;746;7501;7502;7503;20461;20462;20463;24307;24308;24309;24310;31573;31574;31575;31576;31577;31578	746;7501;20463;24309;31577		
sp|P22855|MAN1_YEAST	sp|P22855|MAN1_YEAST	3	3	3	>sp|P22855|MAN1_YEAST Alpha-mannosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AMS1 PE=1 SV=2	1	3	3	3	3	3	3	3.1	3.1	3.1	124.5	1083	1083	1	7	0	2.4653	By MS/MS	3.1	105210000	105210000	1669900	1669900	203860000	5	5				382	858;1343;7688	True;True;True	869;1361;7810	3298;3299;4886;4887;28722;28723;28724	3294;4765;29258;29259;29260	3294;4765;29260		
sp|P22936|APN1_YEAST	sp|P22936|APN1_YEAST	1	1	1	>sp|P22936|APN1_YEAST DNA-(apurinic or apyrimidinic site) lyase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APN1 PE=1 SV=4	1	1	1	1	1	1	1	4.4	4.4	4.4	41.439	367	367	1	2	0	2.4028	By MS/MS	4.4	21240000	21240000	1180000	1180000	57736000	1	1				383	547	True	555	2135;2136	2151	2151		
sp|P22943|HSP12_YEAST	sp|P22943|HSP12_YEAST	6	6	6	>sp|P22943|HSP12_YEAST 12 kDa heat shock protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP12 PE=1 SV=1	1	6	6	6	6	6	6	56	56	56	11.693	109	109	1	24	0	61.99	By MS/MS	56	3947800000	3947800000	563960000	563960000	8538200000	28	28				384	519;1087;2697;2934;4778;7801	True;True;True;True;True;True	527;1101;2729;2975;4845;7924	2030;2031;2032;4059;4060;4061;9905;9906;9907;9908;9909;9910;10823;10824;10825;10826;10827;10828;18064;18065;18066;29261;29262;29263	2041;3985;3986;3987;3988;9910;9911;9912;9913;9914;10777;10778;10779;10780;10781;10782;10783;10784;10785;10786;10787;18326;18327;18328;18329;18330;18331;29797	2041;3985;9914;10786;18331;29797		
sp|P23180|AIM17_YEAST	sp|P23180|AIM17_YEAST	11	11	11	>sp|P23180|AIM17_YEAST Probable oxidoreductase AIM17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM17 PE=1 SV=2	1	11	11	11	11	11	11	31.8	31.8	31.8	53.134	465	465	1	32	0	55.977	By MS/MS	31.8	2357500000	2357500000	112260000	112260000	5072400000	27	27				385	1037;2516;2736;2876;3578;4454;4927;5051;5190;5935;8667	True;True;True;True;True;True;True;True;True;True;True	1051;2547;2768;2916;3628;4516;4999;5123;5267;6038;8808	3916;3917;3918;9287;9288;9289;10034;10582;10583;10584;13344;13345;13346;13347;13348;16781;16782;16783;18657;18658;18659;19097;19098;19099;19689;19690;19691;22365;22366;32707;32708;32709	3853;3854;9325;9326;9327;10028;10533;10534;10535;13382;13383;13384;13385;17008;18990;18991;18992;18993;18994;19416;19417;19418;20060;20061;20062;22665;33312;33313;33314	3854;9327;10028;10534;13383;17008;18991;19418;20060;22665;33314		
sp|P23201|SPA2_YEAST	sp|P23201|SPA2_YEAST	2	2	2	>sp|P23201|SPA2_YEAST Protein SPA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPA2 PE=1 SV=1	1	2	2	2	2	2	2	1.8	1.8	1.8	163.14	1466	1466	1	4	0	4.2412	By MS/MS	1.8	64712000	64712000	770380	770380	109400000	2	2				386	134;3015	True;True	137;3059	575;576;11148;11149	674;11140	674;11140		
sp|P23202|URE2_YEAST	sp|P23202|URE2_YEAST	1	1	1	>sp|P23202|URE2_YEAST Transcriptional regulator URE2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URE2 PE=1 SV=1	1	1	1	1	1	1	1	3.4	3.4	3.4	40.27	354	354	1	2	0.0031348	1.4676	By MS/MS	3.4	59439000	59439000	3715000	3715000	161570000	0	0				387	453	True	461	1759;1760	1743;1744	1744		
sp|P23248|RS3A2_YEAST	sp|P23248|RS3A2_YEAST	18	18	5	>sp|P23248|RS3A2_YEAST 40S ribosomal protein S1-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS1B PE=1 SV=3	1	18	18	5	18	18	5	64.3	64.3	16.5	28.812	255	255	1	70	0	97.512	By MS/MS	64.3	5372600000	5372600000	316040000	316040000	11770000000	9	9				388	864;941;1967;2089;3196;3394;4005;4171;4183;4594;4952;5650;5821;7401;7855;8105;8208;8218	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	875;954;1992;2115;3242;3443;4059;4231;4243;4659;5024;5747;5748;5924;7518;7982;8234;8339;8349	3318;3319;3320;3587;3588;3589;3590;3591;3592;7269;7270;7271;7717;7718;7719;7720;7721;7722;7723;7724;7725;7726;7727;11965;11966;11967;12669;12670;12671;15000;15001;15002;15758;15759;15760;15812;15813;17293;17294;17295;18748;18749;18750;18751;18752;21355;21356;21357;21358;21359;21360;21361;21362;21947;21948;27698;27699;29521;29522;29523;30523;30524;30525;30919;30920;30921;30922;30968;30969;30970	3309;3310;3553;3554;3555;3556;3557;3558;3559;3560;3561;3562;3563;3564;7282;7283;7284;7695;7696;7697;7698;7699;7700;7701;7702;7703;7704;7705;7706;7707;7708;7709;12010;12011;12012;12711;12712;12713;15135;15136;15137;15138;15891;15892;15958;17493;17494;17495;17496;17497;19069;19070;19071;19072;19073;21644;21645;21646;21647;21648;21649;21650;21651;21652;21653;21654;22244;22245;28184;30054;30055;31091;31508;31509;31510;31511;31512;31513;31514;31569	3310;3562;7284;7704;12012;12711;15137;15891;15958;17496;19070;21653;22244;28184;30055;31091;31511;31569	97	103
sp|P23254|TKT1_YEAST	sp|P23254|TKT1_YEAST	22	22	22	>sp|P23254|TKT1_YEAST Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TKL1 PE=1 SV=4	1	22	22	22	22	22	22	36.5	36.5	36.5	73.805	680	680	1	81	0	134.82	By MS/MS	36.5	13208000000	13208000000	426080000	426080000	28408000000	92	92				389	444;1335;2128;2147;2311;3201;3553;4018;4456;4507;4894;4982;5348;5384;5881;6150;6492;6664;6665;7215;8249;8391	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	451;1353;2155;2174;2340;3248;3603;4072;4518;4571;4965;5054;5436;5476;5984;6255;6602;6778;6779;7331;8383;8527	1731;1732;1733;4863;4864;4865;7907;7908;7909;7962;7963;7964;8541;11986;11987;11988;13275;13276;15055;15056;15057;15058;15059;15060;16787;16788;16964;16965;16966;18535;18536;18537;18859;18860;18861;20296;20297;20298;20435;20436;20437;20438;20439;20440;20441;20442;20443;22182;22183;22184;22185;23130;23131;23132;24367;24368;24369;24370;24371;24372;25093;25094;25095;25096;25097;25098;27028;27029;27030;27031;27032;27033;31137;31138;31139;31673;31674;31675;31676;31677;31678	1724;1725;4740;4741;4742;4743;4744;4745;4746;4747;4748;7919;7920;7921;7922;7923;7924;7975;7976;7977;8569;12030;12031;12032;12033;12034;13308;13309;13310;15181;15182;15183;15184;17011;17169;17170;17171;18885;18886;18887;18888;19183;19184;19185;20623;20624;20625;20754;20755;20756;20757;20758;20759;20760;22500;22501;22502;22503;23458;23459;23460;23461;23462;23463;24737;24738;24739;24740;24741;24742;25522;25523;25524;25525;25526;25527;27538;27539;27540;27541;27542;27543;31740;31741;31742;31743;31744;31745;32286;32287;32288;32289;32290;32291	1724;4747;7920;7976;8569;12033;13308;15181;17011;17170;18888;19185;20623;20757;22503;23463;24740;25524;25527;27538;31742;32288		
sp|P23291|KC11_YEAST	sp|P23291|KC11_YEAST	5	1	1	>sp|P23291|KC11_YEAST Casein kinase I homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCK1 PE=1 SV=1	1	5	1	1	5	1	1	12.5	4.1	4.1	61.714	538	538	1	2	0	2.0667	By MS/MS	12.5	33625000	33625000	1345000	1345000	91403000	1	1				390	949;4117;4914;6067;8612	False;False;True;False;False	962;4175;4985;6171;8752	3619;3620;3621;15499;15500;15501;15502;15503;15504;15505;18592;18593;22834;22835;22836;32517;32518;32519	3586;3587;15627;15628;15629;15630;18935;23171;23172;23173;33141;33142	3586;15628;18935;23173;33141		
sp|P23292|KC12_YEAST	sp|P23292|KC12_YEAST	6	6	2	>sp|P23292|KC12_YEAST Casein kinase I homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCK2 PE=1 SV=1	1	6	6	2	6	6	2	13.7	13.7	5.5	62.078	546	546	1	20	0	13.453	By MS/MS	13.7	77098000	77098000	3352100	3352100	182460000	4	4				391	949;4117;5659;6067;8612;8648	True;True;True;True;True;True	962;4175;5757;6171;8752;8789	3619;3620;3621;15499;15500;15501;15502;15503;15504;15505;21381;21382;21383;22834;22835;22836;32517;32518;32519;32650	3586;3587;15627;15628;15629;15630;21674;21675;21676;23171;23172;23173;33141;33142;33262	3586;15628;21676;23173;33141;33262		
sp|P23301|IF5A1_YEAST	sp|P23301|IF5A1_YEAST	6	6	4	>sp|P23301|IF5A1_YEAST Eukaryotic translation initiation factor 5A-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HYP2 PE=1 SV=3	1	6	6	4	6	6	4	30.6	30.6	25.5	17.114	157	157	1	41	0	105.5	By MS/MS	30.6	8787500000	8787500000	1098400000	1098400000	18833000000	46	46				392	454;837;4075;4100;4376;5543	True;True;True;True;True;True	462;848;4130;4131;4158;4437;4438;5639	1761;1762;1763;1764;1765;1766;1767;1768;1769;3226;3227;3228;3229;3230;3231;15318;15319;15320;15321;15322;15323;15324;15325;15326;15327;15328;15329;15440;15441;15442;16471;16472;16473;16474;16475;16476;16477;16478;21018;21019;21020	1745;1746;1747;1748;1749;1750;1751;1752;1753;1754;1755;1756;3232;3233;15455;15456;15457;15458;15459;15460;15461;15462;15463;15464;15465;15466;15467;15468;15469;15470;15471;15472;15581;15582;15583;16645;16646;16647;16648;16649;16650;16651;16652;16653;16654;16655;16656;16657;16658;21343;21344;21345;21346	1756;3232;15470;15583;16650;21343	98	80
sp|P23337|GYS1_YEAST	sp|P23337|GYS1_YEAST	5	3	3	>sp|P23337|GYS1_YEAST Glycogen [starch] synthase isoform 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSY1 PE=1 SV=3	1	5	3	3	5	3	3	6.8	4.4	4.4	80.509	708	708	1	6	0	2.7463	By MS/MS	6.8	169970000	169970000	5482800	5482800	363120000	2	2				393	595;692;4965;6630;7767	True;True;False;True;False	604;703;5037;6742;7890	2331;2332;2333;2736;2737;18797;18798;18799;24922;29145;29146;29147;29148;29149;29150	2365;2792;19127;19128;19129;25286;29694;29695	2365;2792;19129;25286;29695		
sp|P23542|AATC_YEAST	sp|P23542|AATC_YEAST	17	17	17	>sp|P23542|AATC_YEAST Aspartate aminotransferase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAT2 PE=1 SV=3	1	17	17	17	17	17	17	55.3	55.3	55.3	46.057	418	418	1	64	0	65.712	By MS/MS	55.3	4103100000	4103100000	186500000	186500000	8800700000	46	46				394	529;827;1085;2460;3489;4386;4584;4671;5040;5561;5981;6465;6618;7015;7212;7647;7747	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	537;838;1099;2491;3538;4448;4649;4737;5112;5657;6084;6575;6730;7131;7328;7769;7870	2078;2079;2080;3184;4055;4056;9057;9058;9059;9060;9061;9062;13026;13027;13028;16511;16512;17268;17269;17661;17662;17663;17664;17665;17666;19061;19062;19063;21071;21072;21073;21074;21075;22514;22515;22516;22517;22518;24278;24279;24280;24891;24892;24893;26354;26355;26356;27014;27015;27016;27017;27018;27019;27020;27021;28598;28599;28600;29063;29064;29065;29066;29067;29068	2093;2094;2095;2096;2097;2098;3188;3981;3982;9084;9085;13085;13086;13087;16688;17471;17920;17921;17922;17923;17924;17925;17926;19375;19376;21392;21393;21394;22801;22802;22803;22804;24638;24639;24640;25256;25257;26867;26868;26869;27525;27526;27527;27528;27529;27530;27531;27532;29129;29623;29624	2098;3188;3982;9084;13085;16688;17471;17923;19375;21392;22802;24640;25256;26869;27531;29129;29623		
sp|P23615|SPT6_YEAST	sp|P23615|SPT6_YEAST	4	4	4	>sp|P23615|SPT6_YEAST Transcription elongation factor SPT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT6 PE=1 SV=1	1	4	4	4	4	4	4	3.7	3.7	3.7	168.29	1451	1451	1	8	0	8.151	By MS/MS	3.7	137900000	137900000	1863500	1863500	295390000	3	3				395	206;3771;4710;5515	True;True;True;True	210;3824;4776;5608	846;847;14131;14132;17810;20901;20902;20903	914;14343;18074;21205;21206	914;14343;18074;21206		
sp|P23638|PSA3_YEAST	sp|P23638|PSA3_YEAST	11	11	11	>sp|P23638|PSA3_YEAST Proteasome subunit alpha type-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE9 PE=1 SV=1	1	11	11	11	11	11	11	46.5	46.5	46.5	28.714	258	258	1	28	0	44.663	By MS/MS	46.5	899760000	899760000	64268000	64268000	1963900000	22	22				396	305;841;3405;3460;3973;4392;7426;7433;7538;8184;8518	True;True;True;True;True;True;True;True;True;True;True	311;852;3454;3509;4026;4454;7544;7551;7657;8315;8657	1234;1235;1236;3243;3244;12712;12713;12926;14848;14849;16541;16542;16543;27789;27790;27791;27814;27815;27816;28220;28221;28222;30814;30815;30816;32160;32161;32162	1261;1262;3242;12747;12748;12978;15016;15017;16725;16726;16727;28283;28284;28285;28308;28309;28730;31388;31389;31390;32777;32778;32779	1262;3242;12748;12978;15017;16726;28283;28308;28730;31390;32777		
sp|P23639|PSA2_YEAST	sp|P23639|PSA2_YEAST	6	6	6	>sp|P23639|PSA2_YEAST Proteasome subunit alpha type-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE8 PE=1 SV=1	1	6	6	6	6	6	6	26.4	26.4	26.4	27.162	250	250	1	17	0	16.065	By MS/MS	26.4	672040000	672040000	56003000	56003000	1296400000	12	12				397	578;4095;4512;5095;6795;8116	True;True;True;True;True;True	587;4153;4576;5170;6910;8245	2279;2280;2281;2282;2283;15416;16980;16981;16982;19254;19255;25560;25561;25562;30558;30559;30560	2316;2317;15567;17197;19588;19589;25993;25994;25995;25996;31118;31119	2317;15567;17197;19589;25994;31118		
sp|P23641|MPCP_YEAST	sp|P23641|MPCP_YEAST	9	9	9	>sp|P23641|MPCP_YEAST Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIR1 PE=1 SV=1	1	9	9	9	9	9	9	38.3	38.3	38.3	32.812	311	311	1	30	0	39.745	By MS/MS	38.3	3768900000	3768900000	235560000	235560000	7845200000	23	23				398	521;2039;2130;2771;3733;3956;6091;6111;6833	True;True;True;True;True;True;True;True;True	529;2064;2065;2157;2807;3785;4009;6196;6216;6948	2036;2037;2038;7543;7544;7545;7546;7547;7548;7549;7550;7916;7917;7918;10153;10154;10155;13966;13967;13968;14783;14784;14785;22915;22916;22986;22987;25683;25684;25685	2044;2045;2046;7529;7530;7531;7532;7533;7534;7930;10135;10136;10137;14179;14180;14181;14963;14964;14965;23240;23315;23316;26112;26113;26114;26115	2045;7529;7930;10135;14180;14965;23240;23315;26113	99	35
sp|P23644|TOM40_YEAST	sp|P23644|TOM40_YEAST	6	6	6	>sp|P23644|TOM40_YEAST Mitochondrial import receptor subunit TOM40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM40 PE=1 SV=1	1	6	6	6	6	6	6	23	23	23	42.038	387	387	1	17	0	14.011	By MS/MS	23	812980000	812980000	54198000	54198000	1788000000	14	14				399	176;2780;6195;7038;7292;7547	True;True;True;True;True;True	180;2816;6300;7154;7409;7667	736;737;738;10178;10179;10180;23293;23294;26432;26433;26434;27333;27334;27335;28249;28250;28251	819;820;10152;23608;26948;26949;26950;26951;26952;27831;27832;28751;28752;28753	820;10152;23608;26952;27831;28751		
sp|P23724|PSB6_YEAST	sp|P23724|PSB6_YEAST	5	5	5	>sp|P23724|PSB6_YEAST Proteasome subunit beta type-6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE7 PE=1 SV=1	1	5	5	5	5	5	5	25.3	25.3	25.3	26.871	241	241	1	14	0	8.1507	By MS/MS	25.3	524180000	524180000	43682000	43682000	1100400000	10	10				400	200;2505;4996;5590;5598	True;True;True;True;True	204;2536;5068;5686;5694	814;815;816;9252;9253;9254;18899;18900;21160;21161;21162;21179;21180;21181	890;9287;9288;9289;19216;21475;21476;21477;21490;21491	890;9288;19216;21475;21491		
sp|P23776|EXG1_YEAST	sp|P23776|EXG1_YEAST	4	4	4	>sp|P23776|EXG1_YEAST Glucan 1,3-beta-glucosidase I/II OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EXG1 PE=1 SV=1	1	4	4	4	4	4	4	11.4	11.4	11.4	51.31	448	448	1	12	0	9.9691	By MS/MS	11.4	329660000	329660000	18314000	18314000	706100000	11	11				401	4202;4761;5484;8756	True;True;True;True	4263;4828;5577;8897	15909;15910;15911;17999;18000;18001;20769;20770;20771;33112;33113;33114	16087;16088;16089;18262;18263;18264;21074;21075;21076;33725;33726	16088;18264;21074;33726		
sp|P24000|RL24B_YEAST;sp|P04449|RL24A_YEAST	sp|P24000|RL24B_YEAST;sp|P04449|RL24A_YEAST	4;2	4;2	4;2	>sp|P24000|RL24B_YEAST 60S ribosomal protein L24-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24B PE=1 SV=1;>sp|P04449|RL24A_YEAST 60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24A PE=1 SV=1	2	4	4	4	4	4	4	21.9	21.9	21.9	17.547	155	155;155	1	16	0	11.279	By MS/MS	21.9	4841800000	4841800000	968350000	968350000	10285000000	20	20				402	507;2689;5312;7714	True;True;True;True	515;2721;5396;7837	1957;1958;1959;1960;1961;1962;9877;9878;9879;9880;20156;20157;20158;28824;28825;28826	1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;9883;9884;9885;20499;20500;20501;29349;29350;29351	1959;9885;20499;29350		
sp|P24276|SSD1_YEAST	sp|P24276|SSD1_YEAST	6	6	6	>sp|P24276|SSD1_YEAST Protein SSD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSD1 PE=1 SV=1	1	6	6	6	6	6	6	7.9	7.9	7.9	139.95	1250	1250	1	15	0	15.171	By MS/MS	7.9	555560000	555560000	8960700	8960700	1268400000	8	8				403	1613;3325;3738;5108;5158;5965	True;True;True;True;True;True	1634;3374;3790;5183;5233;6068	5963;5964;12417;12418;13980;13981;19316;19317;19318;19494;19495;19496;22465;22466;22467	5967;12437;14192;19647;19648;19649;19825;22753	5967;12437;14192;19649;19825;22753		
sp|P24280|SEC14_YEAST	sp|P24280|SEC14_YEAST	9	9	8	>sp|P24280|SEC14_YEAST SEC14 cytosolic factor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC14 PE=1 SV=3	1	9	9	8	9	9	8	28.3	28.3	28.3	34.9	304	304	1	31	0	55.051	By MS/MS	28.3	2013900000	2013900000	100690000	100690000	4307300000	23	23				404	1279;1361;1725;2455;2622;3404;3984;4443;5901	True;True;True;True;True;True;True;True;True	1296;1379;1747;2486;2653;3453;4037;4505;6004	4673;4674;4675;4942;4943;4944;6334;6335;6336;9040;9041;9042;9043;9625;9626;9627;12709;12710;12711;14907;14908;14909;16704;16705;16706;16707;16708;16709;22247;22248;22249	4561;4562;4563;4821;4822;4823;6304;6305;6306;9071;9072;9073;9622;9623;12746;15061;16888;16889;16890;16891;16892;16893;16894;22566	4562;4823;6305;9073;9622;12746;15061;16893;22566		
sp|P24521|ERG8_YEAST	sp|P24521|ERG8_YEAST	2	2	2	>sp|P24521|ERG8_YEAST Phosphomevalonate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG8 PE=1 SV=2	1	2	2	2	2	2	2	5.1	5.1	5.1	50.454	451	451	1	5	0	12.263	By MS/MS	5.1	69358000	69358000	2477100	2477100	127660000	2	2				405	3932;5859	True;True	3985;5962	14661;14662;22112;22113;22114	14825;14826;22439;22440	14826;22440		
